sequence,speed_mph,longitude,latitude
1,5.9035014,-92.16487833,41.557005
2,5.5007284,-92.16471333000001,41.55698499999998
3,5.2130334,-92.16432333,41.556986667
4,9.3673492,-92.16412333,41.556978333000004
5,13.4296026,-92.16378,41.556973333
6,12.140729,-92.16342333,41.556978333000004
7,12.9692906,-92.16301667,41.55699333299999
8,13.3950792,-92.16263167,41.557013333
9,11.6113702,-92.1623,41.557001667
10,10.6332072,-92.16198833,41.55697666699999
11,9.378857,-92.16170333,41.55693000000001
12,9.2983024,-92.16139333,41.556920000000005
13,7.825304,-92.16113667,41.556896667
14,9.7355988,-92.16087167,41.556863333
15,10.4490824,-92.16057667,41.556838333
16,10.7713008,-92.16029167,41.556801667
17,13.5101572,-92.15986667,41.556768332999994
18,15.1212492,-92.15940667,41.556761666999996
19,12.5665176,-92.15901,41.55674500000001
20,11.3812142,-92.15850167,41.556946667
21,10.1153562,-92.15804667,41.55702499999999
22,6.1336574,-92.15770167,41.557043332999996
23,5.063432,-92.15737833,41.557086667
24,5.351127,-92.157215,41.557108332999995
25,8.0899834,-92.15715,41.557253333
26,16.6748022,-92.156735,41.558391667
27,15.0982336,-92.15673667,41.55875166700001
28,16.3295682,-92.156705,41.55907333299999
29,16.7783724,-92.15674167,41.559443333000004
30,16.7093256,-92.156765,41.559819999999995
31,18.0442304,-92.15680167,41.56020500000001
32,15.3283896,-92.15681167,41.560533333
33,16.168459,-92.15677,41.56094166700001
34,16.68631,-92.156720000000007,41.56132833299999
35,13.5446806,-92.15668333,41.56166999999999
36,8.112999,-92.156728330000007,41.56190999999999
37,4.5340732,-92.15682167,41.562051667
38,0.0460312,-92.156845,41.562076666999985
